peripheral,register,field_name,key,just_svd,just_output,both
afio,mapr,usart1_remap,enum_names,0,2,0
afio,mapr,tim3_remap,enum_names,0,3,0
afio,mapr,pd01_remap,enum_names,0,2,0
afio,mapr,spi1_remap,enum_names,0,2,0
afio,mapr,tim4_remap,enum_names,0,2,0
afio,mapr,usart2_remap,enum_names,0,2,0
afio,mapr,i2c1_remap,enum_names,0,2,0
afio,mapr,tim2_remap,enum_names,0,3,0
afio,mapr,tim5ch4_iremap,enum_names,0,2,0
afio,mapr,tim1_remap,enum_names,0,3,0
afio,mapr,swj_cfg,enum_names,0,4,0
tim13,sr,uif,enum_names,0,2,0
tim13,sr,cc1of,enum_names,0,2,0
tim13,sr,cc1if,enum_names,0,2,0
tim13,cr1,cen,enum_names,0,2,0
tim13,cr1,urs,enum_names,0,2,0
tim13,cr1,arpe,enum_names,0,2,0
tim13,cr1,ckd,enum_names,0,3,0
tim13,cr1,udis,enum_names,0,2,0
tim13,ccer,cc1p,enum_names,0,2,0
tim13,ccer,cc1e,enum_names,0,2,0
tim13,dier,cc1ie,enum_names,0,2,0
tim13,dier,uie,enum_names,0,2,0
tim13,egr,cc1g,enum_names,0,2,0
tim13,egr,ug,enum_names,0,2,0
